dataset,file,simulation_type,file_readable,events_tree_exists,runs_tree_exists,events_entries,genmodel_branch_count,runs_sumw_branch_count,hlt_branch_count,fastsim_trigger_bypass_required,trigger_policy,error
/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,True,True,True,421769,10,10,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,True,True,True,9379,6,6,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1100_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1100_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2550000/0d01d702-8a7f-413a-8049-3afe420e01ca.root,FastSim signal dataset,True,True,True,43138,11,11,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1150_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1150_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/74382994-77bc-47be-b667-0528862d969f.root,FastSim signal dataset,True,True,True,425546,11,11,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1200_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1200_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/624134b4-1901-4471-b93d-76e7d308946e.root,FastSim signal dataset,True,True,True,413008,12,12,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1250_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1250_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/73a3d9f4-0346-44f3-93fb-4fc5fdd6f6ad.root,FastSim signal dataset,True,True,True,401267,12,12,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1300_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1300_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/24713726-63d7-4835-8d73-a10439dde19a.root,FastSim signal dataset,True,True,True,374412,13,13,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1350_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1350_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/aa41a09e-c970-4dd5-8eec-42b2592677ec.root,FastSim signal dataset,True,True,True,367461,13,13,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1400_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1400_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/d4160abf-58f9-4317-a932-9094509633e2.root,FastSim signal dataset,True,True,True,424499,14,14,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1450_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1450_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2820000/2fd7201f-0eed-4dad-a6b2-ca040b9a683a.root,FastSim signal dataset,True,True,True,418708,14,14,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1500_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/d042678a-575d-4e11-baba-8ec59f6a6064.root,FastSim signal dataset,True,True,True,42801,13,13,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1600_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1600_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/bee52f91-0ad7-4e9d-8a9b-f20e3e4ffd6f.root,FastSim signal dataset,True,True,True,10646,6,6,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1700_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1700_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/c562503c-c24b-46c2-a511-28bb125098ee.root,FastSim signal dataset,True,True,True,421980,17,17,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1800_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1800_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/7660063f-6c94-4f82-b27b-d1e1fc6fa156.root,FastSim signal dataset,True,True,True,425492,18,18,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-1900_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1900_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/e96663b8-a217-40d6-b660-2f54ac513b2f.root,FastSim signal dataset,True,True,True,417472,19,19,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/0b0a8c0d-0c1c-42a0-beeb-e92007d13d38.root,FastSim signal dataset,True,True,True,34237,17,17,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2100_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2100_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/3703bcb6-8089-4b7a-8e44-b00f95b5e4dd.root,FastSim signal dataset,True,True,True,9989,8,8,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2200_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2200_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2820000/714c2d64-2c48-4c05-acc1-6e65d40b7f13.root,FastSim signal dataset,True,True,True,376594,22,22,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2300_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2300_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2550000/66bf487a-c5db-467c-b751-c26895541d3e.root,FastSim signal dataset,True,True,True,419184,23,23,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2400_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2400_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/a294f7c0-a1c2-472d-a390-51f56bcae912.root,FastSim signal dataset,True,True,True,55875,21,21,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/3943913e-c88c-45c7-92a2-2c09a04f2d8a.root,FastSim signal dataset,True,True,True,423255,9,9,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-600_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-600_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2820000/d5013f3a-2dce-4e74-9dc9-42f04d24a30e.root,FastSim signal dataset,True,True,True,487316,5,5,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-700_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-700_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/b320f7bb-dee9-4779-9440-0f02618698a2.root,FastSim signal dataset,True,True,True,438499,6,6,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-800_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-800_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2560000/7d5ac42b-f79a-440c-bb70-cce26df97d1e.root,FastSim signal dataset,True,True,True,466196,8,8,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-900_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-900_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2820000/67d9d0b0-9d52-42cd-b9e2-46c5a353085e.root,FastSim signal dataset,True,True,True,385712,9,9,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
/SMS-2Stop_Par-mStop-950_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-950_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/2820000/dc99372c-9fb5-4f7c-a485-7d5819dfe022.root,FastSim signal dataset,True,True,True,432327,9,9,0,True,FastSim trigger bypass: HLT branches absent; trigger not applied at event-selection level,
